No,Architecture,Keywords,Description,Structure,When To Use,When Not To Use,Example Packages,Key Principles
1,Standard Go Project Layout,"cmd, internal, pkg, api, build, scripts","The community-driven conventional layout for Go projects. Organizes code into well-known directories that signal intent to other developers. Not an official Go standard but widely adopted across the ecosystem.","cmd/myapp/main.go, cmd/worker/main.go, internal/auth/, internal/database/, pkg/models/, pkg/utils/, api/openapi.yaml, configs/, scripts/, build/, deployments/, docs/","Medium to large projects with multiple binaries; open-source libraries expecting community contributions; projects needing clear separation between public and private code","Small projects or scripts with fewer than a few hundred lines; quick prototypes; single-package libraries where the extra directories add unnecessary complexity","github.com/golang-standards/project-layout, github.com/go-chi/chi, github.com/gorilla/mux","Separation of concerns through directory conventions; cmd/ for entry points with minimal logic; internal/ enforces compiler-level access control"
2,Flat Structure,"single package, small project, simplicity, minimal","A project with all Go files in a single root package or very few packages. Ideal for small tools, scripts, and libraries that do one thing well. Avoids premature abstraction and unnecessary directory nesting.","main.go, handler.go, model.go, store.go, go.mod, go.sum, README.md","Small CLI tools and utilities; single-purpose libraries; projects with one developer; proof-of-concept implementations; scripts under 1000 lines","Projects with multiple teams; applications expected to grow significantly; projects requiring strict access boundaries between subsystems","github.com/joho/godotenv, github.com/cespare/xxhash, github.com/mattn/go-sqlite3","Keep it simple; avoid premature abstraction; every package should have a clear single purpose"
3,Domain-Driven Design in Go,"DDD, bounded context, aggregate, entity, value object, repository, domain","Organizes code around the business domain rather than technical layers. Bounded contexts map to packages, aggregates enforce consistency boundaries, and the ubiquitous language permeates type and function names.","domain/order/order.go, domain/order/repository.go, domain/order/service.go, domain/customer/customer.go, domain/customer/repository.go, application/order_service.go, infrastructure/postgres/order_repo.go, interfaces/http/order_handler.go","Complex business domains with evolving rules; large teams where bounded contexts map to team ownership; enterprise applications requiring strategic design","CRUD-heavy applications with simple business logic; small utilities; projects where the domain model would mirror the database schema with no added value","github.com/ThreeDotsLabs/wild-workouts-go-ddd-example, github.com/marcusolsson/goddd, github.com/victorsteven/food-app-server","Model the domain explicitly in code; protect invariants within aggregate boundaries; depend on abstractions at domain boundaries not implementations"
4,Hexagonal Architecture (Ports & Adapters),"hexagonal, ports, adapters, clean boundary, dependency inversion","Isolates the core business logic from external systems by defining ports (interfaces) and adapters (implementations). The domain core has zero dependencies on frameworks, databases, or transport protocols.","core/domain/order.go, core/ports/order_repository.go, core/ports/order_service.go, core/services/order_service.go, adapters/driven/postgres/order_repo.go, adapters/driven/redis/cache.go, adapters/driving/http/handler.go, adapters/driving/grpc/server.go","Applications that need to swap infrastructure components; systems requiring high testability via port mocking; projects where the domain logic is the primary asset","Simple CRUD APIs; throwaway prototypes; projects where the extra abstraction layers would outweigh the business logic complexity","github.com/ThreeDotsLabs/wild-workouts-go-ddd-example, github.com/uber-go/fx, github.com/google/wire","Business logic must not import infrastructure; all external dependencies hidden behind interfaces (ports); adapters are replaceable without touching the core"
5,Clean Architecture,"clean, use case, entity, interface adapter, framework, dependency rule","Enforces a strict dependency rule where inner layers know nothing about outer layers. Entities hold enterprise rules, use cases orchestrate application flows, interface adapters translate data, and frameworks sit at the outermost ring.","entity/user.go, entity/order.go, usecase/create_order.go, usecase/interfaces.go, adapter/controller/order_controller.go, adapter/presenter/order_presenter.go, adapter/gateway/order_gateway.go, infrastructure/router/router.go, infrastructure/database/postgres.go","Applications with complex business rules spanning multiple use cases; projects requiring strict layer isolation and testability; teams wanting to defer framework decisions","Simple REST APIs with straightforward CRUD; small microservices with minimal business logic; projects where development speed outweighs architectural purity","github.com/bxcodec/go-clean-arch, github.com/evrone/go-clean-template, github.com/zhashkevych/todo-app","Dependencies point inward only; entities are framework-agnostic; use cases define application-specific business rules as orchestrators"
6,Layered Architecture,"handler, service, repository, layer, MVC, three-tier","The most common Go web application pattern. Requests flow through handler (presentation), service (business logic), and repository (data access) layers. Each layer only calls the layer directly below it.","handler/order_handler.go, handler/user_handler.go, service/order_service.go, service/user_service.go, repository/order_repository.go, repository/user_repository.go, model/order.go, model/user.go, middleware/auth.go, router/router.go","Standard web APIs and CRUD applications; teams familiar with traditional MVC patterns; projects needing a quick and well-understood structure","Applications with complex cross-cutting domain logic that does not fit neatly into layers; event-driven systems; projects requiring multiple presentation protocols simultaneously","github.com/gin-gonic/gin, github.com/go-chi/chi, github.com/jmoiron/sqlx, github.com/jackc/pgx","Unidirectional dependency flow from handler to repository; each layer has a single responsibility; interfaces between layers enable independent testing"
7,Modular Monolith,"modular, monolith, bounded module, internal communication, cohesion","A single deployable unit organized into loosely-coupled modules that communicate through well-defined internal APIs. Each module owns its data and logic. Enables migration to microservices if needed without a premature distributed architecture.","modules/ordering/handler.go, modules/ordering/service.go, modules/ordering/repository.go, modules/ordering/events.go, modules/inventory/handler.go, modules/inventory/service.go, modules/catalog/handler.go, shared/events/bus.go, shared/middleware/, cmd/server/main.go","Teams wanting microservice-like boundaries without distributed complexity; startups iterating quickly on features; systems where module boundaries may shift as the domain is explored","Truly independent services needing separate deployment cycles; systems already at scale requiring independent scaling of components; polyglot environments","github.com/ThreeDotsLabs/watermill, github.com/nats-io/nats.go, github.com/go-chi/chi","Strong module boundaries enforced by internal/ packages; modules communicate through events or explicit APIs; shared kernel kept minimal"
8,Microservice with go-kit,"microservice, go-kit, endpoint, transport, service, middleware","A microservice structured around the go-kit framework pattern: define a service interface, wrap endpoints with middleware for logging, metrics, and tracing, then expose them via one or more transports (HTTP, gRPC).","service/service.go, service/middleware.go, endpoint/endpoint.go, endpoint/middleware.go, transport/http.go, transport/grpc.go, pb/service.proto, pb/service.pb.go, cmd/main.go","Production microservices needing observability, rate limiting, and circuit breaking; organizations adopting a consistent microservice template; services exposed over multiple transports","Simple internal services; projects where go-kit boilerplate outweighs the benefit; teams preferring lighter frameworks or standard library HTTP","github.com/go-kit/kit, github.com/go-kit/kit/endpoint, github.com/go-kit/kit/transport/http, github.com/go-kit/kit/transport/grpc","Strict separation of service interface, endpoint, and transport; middleware composition for cross-cutting concerns; transport-agnostic business logic"
9,Monorepo with Go Workspaces (go.work),"monorepo, workspace, go.work, multi-module, shared code","Uses Go 1.18+ workspaces to manage multiple modules in a single repository. A go.work file at the root references each module, enabling local cross-module development without published versions or replace directives.","go.work, services/api/go.mod, services/api/main.go, services/worker/go.mod, services/worker/main.go, libs/auth/go.mod, libs/auth/auth.go, libs/database/go.mod, libs/database/db.go, tools/migrate/go.mod","Organizations managing multiple services with shared libraries; teams needing atomic cross-service changes; projects where shared code evolves alongside services","Projects with unrelated modules that never share code; open-source libraries intended for independent consumption; teams where repository size causes CI performance issues","golang.org/x/tools, github.com/uber-go/nilaway, github.com/golangci/golangci-lint","Single source of truth for all modules; workspace replaces replace directives for local development; each module maintains its own go.mod for independent versioning"
10,Plugin Architecture (go-plugin),"plugin, hashicorp, go-plugin, extensible, RPC, gRPC","Enables runtime extensibility by loading plugins as separate processes communicating over RPC or gRPC. The host application defines plugin interfaces, and third parties implement them without recompiling the host.","cmd/host/main.go, plugin/interface.go, plugin/grpc.go, plugin/shared.go, plugins/myplugin/main.go, plugins/myplugin/impl.go, internal/pluginmanager/manager.go, proto/plugin.proto","Applications requiring third-party extensibility at runtime; tools like Terraform and Vault that need a plugin ecosystem; systems where plugins must be isolated from host crashes","Applications where all functionality is known at compile time; performance-critical paths where RPC overhead is unacceptable; simple applications with no extensibility requirements","github.com/hashicorp/go-plugin, github.com/traefik/yaegi, plugin (stdlib)","Plugins run as separate processes for fault isolation; host defines the interface contract; gRPC provides cross-language plugin support"
11,CQRS Pattern,"CQRS, command, query, read model, write model, separation","Separates the write side (commands that change state) from the read side (queries that return data). Each side can use different models, different storage, and scale independently. Often combined with event sourcing.","cmd/server/main.go, command/create_order.go, command/handler.go, command/bus.go, query/get_order.go, query/handler.go, query/bus.go, domain/order/aggregate.go, readmodel/order_view.go, infrastructure/eventstore/store.go","Systems with asymmetric read/write loads; complex domains where read and write models diverge significantly; applications requiring audit trails or event sourcing","Simple CRUD applications where read and write models are identical; projects with small teams unfamiliar with eventual consistency; systems where strong consistency is non-negotiable","github.com/ThreeDotsLabs/watermill, github.com/looplab/eventhorizon, github.com/EventStore/EventStore-Client-Go","Commands and queries have separate models and execution paths; write side optimized for consistency and invariants; read side optimized for query performance"
12,Event-Driven Architecture,"events, message broker, pub/sub, async, eventual consistency, choreography","Components communicate through asynchronous events rather than direct calls. Producers publish events without knowledge of consumers. Enables loose coupling, temporal decoupling, and natural audit logs.","cmd/producer/main.go, cmd/consumer/main.go, events/order_created.go, events/payment_received.go, publisher/publisher.go, subscriber/order_handler.go, subscriber/notification_handler.go, broker/nats.go, broker/kafka.go, internal/retry/retry.go","Systems requiring loose coupling between services; workflows spanning multiple services; applications needing audit logs and replay capability; high-throughput asynchronous processing","Operations requiring immediate consistency; simple request-response APIs; systems where debugging asynchronous flows would create unacceptable operational burden","github.com/ThreeDotsLabs/watermill, github.com/nats-io/nats.go, github.com/segmentio/kafka-go, github.com/rabbitmq/amqp091-go","Events are immutable facts about what happened; producers and consumers are decoupled; design for idempotent event handling"
13,Serverless (AWS Lambda),"serverless, lambda, API Gateway, SAM, CDK, function","Each function is a standalone Go binary deployed as an AWS Lambda handler. Functions are stateless, triggered by events (HTTP via API Gateway, SQS, S3, etc.), and scale automatically.","cmd/create-order/main.go, cmd/get-order/main.go, cmd/process-payment/main.go, internal/order/service.go, internal/order/repository.go, internal/shared/response.go, template.yaml, samconfig.toml, Makefile","Event-driven workloads with variable traffic; functions triggered by AWS services; cost-sensitive applications with low or bursty traffic; teams wanting zero infrastructure management","Latency-sensitive applications where cold starts are unacceptable; long-running processes exceeding timeout limits; stateful applications requiring persistent connections","github.com/aws/aws-lambda-go, github.com/awslabs/aws-lambda-go-api-proxy, github.com/aws/aws-sdk-go-v2","One function per responsibility; share logic in internal/ packages across functions; minimize cold start by keeping binaries small and dependencies minimal"
14,CLI Architecture (cobra command tree),"CLI, cobra, command, flag, subcommand, viper, terminal","Structures a command-line application as a tree of commands and subcommands using Cobra. Root command handles global flags and configuration, while child commands implement specific operations with their own flags.","cmd/root.go, cmd/serve.go, cmd/migrate.go, cmd/migrate_up.go, cmd/migrate_down.go, cmd/config.go, cmd/version.go, internal/runner/serve.go, internal/runner/migrate.go, internal/config/config.go, main.go","Multi-command CLI tools like kubectl or docker; developer tools requiring subcommands and flags; applications needing both CLI and configuration file support","Single-purpose commands that need no subcommands; GUI applications; web-only services with no CLI interaction","github.com/spf13/cobra, github.com/spf13/viper, github.com/urfave/cli/v2, github.com/charmbracelet/bubbletea","Commands form a tree with root at top; each command is self-contained with its own flags and help text; configuration merges flags, environment variables, and config files via Viper"
15,Package Organization Rules,"package naming, import path, godoc, API surface, encapsulation","Guidelines for naming, sizing, and organizing Go packages. Good packages have clear names, narrow API surfaces, and minimal dependencies. Package names are short, lowercase, and singular nouns reflecting their purpose.","auth/auth.go (package auth), http/server.go (package http), store/postgres/user.go (package postgres), encoding/json/ (package json), net/http/ (package http)","Every Go project benefits from thoughtful package organization; especially important when a project grows beyond a handful of files; critical for libraries consumed by others","There is no scenario where these rules should be ignored; they are foundational Go design principles","github.com/golang/go (stdlib), github.com/ardanlabs/service, github.com/uber-go/guide","Name packages for what they provide not what they contain; avoid generic names like util, common, or helpers; break dependency cycles by introducing interface packages"
16,internal/ Package Pattern,"internal, access control, encapsulation, compiler-enforced, private","Leverages the Go compiler-enforced rule that packages under internal/ can only be imported by code rooted in the parent of internal/. Provides true encapsulation without relying on conventions or code review alone.","project/internal/auth/auth.go, project/internal/database/db.go, project/internal/middleware/logging.go, project/pkg/models/user.go, project/cmd/api/main.go","Any project where certain packages must not be imported by external consumers; libraries wanting to expose a clean public API while hiding implementation details; monorepos needing module-level encapsulation","Projects where all packages are intentionally public; single-package projects that have no internal subpackages to protect","github.com/hashicorp/terraform (uses internal/ extensively), github.com/docker/cli, github.com/kubernetes/kubernetes","Compiler enforces import restrictions at build time; place implementation details in internal/ and stable APIs in pkg/ or root; use multiple internal/ directories at different levels for fine-grained control"
17,Wire Dependency Injection,"wire, dependency injection, DI, compile-time, code generation","Uses Google Wire to generate dependency injection code at compile time. Providers declare how to construct types, and injectors wire them together. No runtime reflection, no service locators, full type safety.","cmd/server/main.go, cmd/server/wire.go, cmd/server/wire_gen.go, internal/server/server.go, internal/database/provider.go, internal/auth/provider.go, internal/order/provider.go, internal/config/config.go","Medium to large applications with deep dependency graphs; projects wanting compile-time safety for dependency wiring; teams avoiding runtime DI containers and reflection","Small applications with few dependencies; projects where manual wiring in main() is trivially manageable; teams unfamiliar with code generation workflows","github.com/google/wire, github.com/uber-go/fx, github.com/uber-go/dig, github.com/samber/do","Dependencies declared as provider functions returning types and errors; Wire generates the wiring code eliminating boilerplate; compile-time verification catches missing or circular dependencies"
18,Config Pattern (12-factor app),"config, environment, 12-factor, viper, envconfig, secrets","Loads configuration from environment variables, config files, and flags following the 12-factor app methodology. Configuration is strictly separated from code and varies between deployments without code changes.","internal/config/config.go, internal/config/defaults.go, internal/config/validate.go, configs/config.yaml, configs/config.production.yaml, .env.example, cmd/server/main.go","Every production Go application that needs to run across different environments; cloud-native applications deployed via containers; applications requiring secrets management","Hardcoded configuration that never changes across environments; throwaway scripts; projects where a single constant file suffices","github.com/spf13/viper, github.com/kelseyhightower/envconfig, github.com/joho/godotenv, github.com/caarlos0/env","Store config in environment variables not code; validate configuration at startup and fail fast; provide sensible defaults but require explicit values for critical settings like database URLs"
19,Graceful Shutdown Pattern,"graceful shutdown, signal, context, os.Signal, drain, cleanup","Handles OS signals (SIGINT, SIGTERM) to drain in-flight requests, close database connections, flush buffers, and release resources before exiting. Uses context cancellation to propagate shutdown to all goroutines.","cmd/server/main.go (signal.NotifyContext), internal/server/server.go (Shutdown method), internal/worker/worker.go (Stop method), internal/database/pool.go (Close method)","Every production server or long-running process; applications running in Kubernetes or Docker where SIGTERM precedes container termination; services with in-flight requests or background workers","Short-lived CLI commands that complete immediately; pure library packages that have no process lifecycle; test binaries","github.com/oklog/run, github.com/uber-go/fx, golang.org/x/sync/errgroup, os/signal (stdlib)","Catch SIGINT and SIGTERM with signal.NotifyContext; set a shutdown deadline to avoid hanging indefinitely; shut down components in reverse initialization order"
20,Health Check Pattern,"health check, readiness, liveness, Kubernetes, probe, status","Exposes HTTP endpoints for liveness (/healthz) and readiness (/readyz) probes. Liveness confirms the process is running. Readiness confirms it can serve traffic by checking dependencies like databases, caches, and external APIs.","internal/health/checker.go, internal/health/handler.go, internal/health/checks/database.go, internal/health/checks/redis.go, internal/health/checks/downstream.go, cmd/server/main.go (register /healthz and /readyz routes)","Applications deployed in Kubernetes or behind load balancers; services with dependencies that may become unavailable; zero-downtime deployment pipelines relying on readiness gates","Standalone CLI tools with no network dependencies; batch jobs that run to completion; development-only tools not requiring orchestration","github.com/hellofresh/health-go, github.com/alexliesenfeld/health, github.com/heptiolabs/healthcheck, github.com/etherlabsio/healthcheck","Liveness checks should be fast and dependency-free; readiness checks verify all critical dependencies; never block liveness on external dependency health"
