No,Use Case,Keywords,Primary Package,Secondary Packages,Architecture Pattern,Error Strategy,Key Considerations
1,Web Framework,"web,http,rest,api,router",gin-gonic/gin,"echo,fiber,chi,net/http",Layered (handler->service->repo),Structured JSON errors with gin.H,"High performance, middleware ecosystem, struct binding/validation built-in"
2,HTTP Router (stdlib),"router,mux,http,stdlib,1.22",net/http,"chi,gorilla/mux,httprouter",Clean Architecture,http.Error with status codes,"Go 1.22+ adds method-based routing (GET /users/{id}), zero dependencies"
3,CLI Framework,"cli,command,terminal,flags,cobra",github.com/spf13/cobra,"urfave/cli/v2,kong,pflag",Cobra command tree + Viper config,fmt.Errorf wrapping + os.Exit(1),"Subcommands, persistent flags, shell completion, widely adopted (kubectl, docker)"
4,Configuration,"config,env,yaml,toml,viper",github.com/spf13/viper,"koanf,envconfig,cleanenv",12-factor app pattern,Fail fast on missing required config,"Supports YAML/TOML/JSON/env, precedence order: flags > env > config > defaults"
5,Database ORM,"orm,database,model,gorm,active record",gorm.io/gorm,"ent,bun,upper/db",Repository pattern with interfaces,Wrap sql.ErrNoRows as domain ErrNotFound,"Auto-migration, hooks, preloading, soft delete; use sqlx/sqlc for complex queries"
6,Database Query Builder,"sql,query,sqlx,named query,scan",github.com/jmoiron/sqlx,"database/sql,squirrel",Repository pattern with raw SQL,Check sql.ErrNoRows explicitly,"Struct scanning, named parameters, Get/Select helpers, closer to SQL than ORM"
7,Type-safe SQL,"sqlc,codegen,type safe,sql to go",github.com/sqlc-dev/sqlc,"sqlx,database/sql",Repository pattern (generated code),Typed errors from generated code,"Generates Go from SQL, compile-time safety, supports PostgreSQL/MySQL/SQLite"
8,Structured Logging,"log,slog,structured,json,logging",log/slog,"uber-go/zap,rs/zerolog,logrus",Logging middleware + slog.Handler,Log errors at top level only,"stdlib since Go 1.21, JSON/text output, log levels, groups, attrs"
9,High-Performance Logging,"log,zap,fast,zero alloc",go.uber.org/zap,"rs/zerolog,log/slog",Inject logger via constructor,zap.Error(err) field,"Zero-allocation JSON logging, ~10x faster than logrus, SugaredLogger for convenience"
10,HTTP Client,"http client,request,rest,api call",net/http,"go-resty/resty/v2,imroc/req/v3",Service layer wraps http.Client,Wrap transport errors with context,"Reuse http.Client (connection pooling), set timeouts, close response body with defer"
11,Validation,"validate,struct tags,input,form",github.com/go-playground/validator/v10,"ozzo-validation,govalidator",Validate at handler layer before service,"Return structured validation errors (field, message)",Struct tags for rules (required/email/min/max), custom validators, translation support
12,JWT Authentication,"jwt,auth,token,bearer,authentication",github.com/golang-jwt/jwt/v5,"casbin,authelia",Auth middleware + claims in context,Return 401/403 with error detail,"Parse/validate tokens in middleware, store claims in context, refresh token rotation"
13,Testing Framework,"test,assert,require,testify",github.com/stretchr/testify,"go-cmp,gomock",Table-driven tests + testify assertions,require.NoError for fatal + assert for checks,"assert (continue) vs require (stop), suite package, mock generation"
14,Mock Generation,"mock,mockery,interface,test double",github.com/vektra/mockery,"gomock,moq,counterfeiter",Interface-based dependency injection,Mock returns configurable errors,"Auto-generates mocks from interfaces, supports testify/mock, go:generate integration"
15,gRPC,"grpc,protobuf,rpc,microservice",google.golang.org/grpc,"protoc-gen-go,buf,grpc-gateway",Transport/Endpoint/Service layers,gRPC status codes (codes.NotFound),Interceptors for logging/auth/tracing/recovery; use buf for protobuf management
16,Database Migration,"migration,schema,sql,migrate",github.com/golang-migrate/migrate/v4,"pressly/goose,atlas",Versioned SQL files in migrations/,Fail deployment on migration error,"Up/down migrations, embed with go:embed, run in CI, separate from app startup"
17,Task Queue,"queue,async,background,job,worker",github.com/hibiken/asynq,"machinery,river,temporal","Worker pool pattern, handler interface",Retry with exponential backoff,"Redis-backed, scheduled tasks, unique tasks, middleware support, web UI"
18,Message Broker (Kafka),"kafka,message,event,stream,broker",github.com/IBM/sarama,"confluent-kafka-go,segmentio/kafka-go",Event-driven with consumer groups,Dead letter queue for failed messages,"Consumer groups, partitioning, exactly-once semantics, schema registry integration"
19,Cache (Redis),"cache,redis,session,key value",github.com/redis/go-redis/v9,"ristretto,bigcache,groupcache",Cache-aside pattern in service layer,Return stale data on cache miss error,"Connection pooling, pipeline, pub/sub, Lua scripts, cluster support"
20,Rate Limiting,"rate limit,throttle,token bucket",golang.org/x/time/rate,"uber-go/ratelimit,tollbooth",Middleware wrapping http.Handler,Return 429 Too Many Requests,"Token bucket algorithm, per-IP or per-user limiting, distributed with Redis"
21,Dependency Injection,"di,wire,inject,dependency",github.com/google/wire,"uber-go/fx,uber-go/dig",Constructor injection with providers,Wire generates error-returning providers,"Compile-time DI (wire) vs runtime (fx), no reflection with wire"
22,API Documentation,"swagger,openapi,api docs,spec",github.com/swaggo/swag,"oapi-codegen,kin-openapi",Generate from annotations or spec-first,Document error responses in spec,"swag generates from comments, oapi-codegen generates server/client from OpenAPI 3"
23,WebSocket,"websocket,realtime,ws,bidirectional",github.com/gorilla/websocket,"nhooyr.io/websocket,melody",Hub pattern with read/write pumps,Close with proper close message,"Upgrader config (origin check), ping/pong, concurrent write protection"
24,Monitoring (Prometheus),"metrics,prometheus,monitoring,observability",github.com/prometheus/client_golang,"go.opentelemetry.io/otel,expvar",Metrics middleware + /metrics endpoint,Increment error counters on failure,"Counter/Gauge/Histogram/Summary, custom collectors, promhttp handler"
25,Distributed Tracing,"tracing,opentelemetry,spans,observability",go.opentelemetry.io/otel,"jaeger,zipkin",Propagate trace context through layers,Record errors as span events,"OTLP exporter, automatic HTTP/gRPC instrumentation, baggage propagation"
26,Scheduling,"cron,schedule,periodic,timer",github.com/robfig/cron/v3,"go-co-op/gocron,stdlib time.Ticker",Background goroutine with cron spec,Log and continue on job error,"Cron spec syntax, timezone support, job chaining, recovery from panics"
27,File Storage,"storage,s3,minio,upload,blob",github.com/minio/minio-go/v7,"aws-sdk-go-v2,afero",Repository pattern for storage interface,Wrap S3 errors with context,"S3-compatible API, presigned URLs, multipart upload, local dev with MinIO"
28,Email,"email,smtp,send,notification",github.com/wneessen/go-mail,"jordan-wright/email,sendgrid",Service layer wraps mail client,Retry transient SMTP errors,"TLS support, attachments, HTML templates, connection pooling"
29,Templating (Components),"template,html,component,templ",github.com/a-h/templ,"html/template,jet",Component-based view layer,Render errors returned to handler,"Type-safe templates, Go syntax, hot reload, integrates with any router"
30,PDF Generation,"pdf,report,document,generate",github.com/jung-kurt/gofpdf,"pdfcpu,maroto,unidoc",Service generates PDF from domain data,Return error if font/image missing,"Supports UTF-8, images, tables, multi-page, custom fonts"
31,Password Hashing,"bcrypt,hash,password,auth,credential,argon2",golang.org/x/crypto/bcrypt,"argon2id,scrypt",Auth service layer wraps bcrypt,Return generic error on hash failure,"Cost 12 recommended, constant-time comparison via bcrypt.CompareHashAndPassword, thread-safe"
32,JWT Authentication,"jwt,auth,token,bearer,authentication,claims,login",github.com/golang-jwt/jwt/v5,"casbin,authelia",Auth middleware + claims in context,Return 401/403 with generic error detail,"Parse/validate tokens in middleware, store claims in context, refresh token rotation, HS256 signing"
33,Authorization (RBAC),"rbac,roles,permissions,access control,admin,authorization,casbin",github.com/casbin/casbin/v2,"golang-jwt/jwt,chi",Middleware pattern with role hierarchy,Return 403 Forbidden with generic message,"Role definitions file-based or DB-stored, check token validity first, support role hierarchy"
