No,Pattern Name,Category,Keywords,Description,When To Use,When Not To Use,Code Example,Anti-Pattern,Complexity,Performance Impact,Common Packages,Docs URL
1,Functional Options,Creational,"functional options,config,WithX,option pattern","Configurable constructors using variadic function arguments that modify a config struct","When a struct has many optional parameters; when you want clean API for configuration","When only 1-2 simple parameters; when configuration is always required","type Option func(*Server)\nfunc WithPort(port int) Option {\n    return func(s *Server) { s.port = port }\n}\nfunc WithTimeout(d time.Duration) Option {\n    return func(s *Server) { s.timeout = d }\n}\nfunc NewServer(opts ...Option) *Server {\n    s := &Server{port: 8080, timeout: 30 * time.Second}\n    for _, opt := range opts {\n        opt(s)\n    }\n    return s\n}\nsrv := NewServer(WithPort(9090), WithTimeout(5*time.Second))","func NewServer(port int, timeout time.Duration, maxConn int, tls bool, logger *log.Logger) *Server { ... } // Too many positional params",Medium,None,"net/http,google.golang.org/grpc",https://go.dev/blog/self-referential-functions-and-the-design-of-apis
2,Factory Function,Creational,"factory,constructor,NewX,initialization","Constructor function that returns a new instance with validation and default values","When you need validation at creation time; when zero value is not useful","When zero value of the struct is already useful","func NewUser(name string, email string) (*User, error) {\n    if name == """" {\n        return nil, errors.New(""name is required"")\n    }\n    if !strings.Contains(email, ""@"") {\n        return nil, errors.New(""invalid email"")\n    }\n    return &User{Name: name, Email: email, CreatedAt: time.Now()}, nil\n}","u := User{} // Skipping validation, zero value may be invalid",Low,None,stdlib,https://go.dev/doc/effective_go#composite_literals
3,Singleton (sync.Once),Creational,"singleton,sync.Once,lazy init,global instance","Thread-safe lazy initialization of a single instance using sync.Once","When exactly one instance must exist (DB pool, logger); when initialization is expensive","When testing requires different instances; when you need multiple configurations","var (\n    instance *Database\n    once     sync.Once\n)\nfunc GetDB() *Database {\n    once.Do(func() {\n        instance = &Database{}\n        instance.connect()\n    })\n    return instance\n}","var db = connectDB() // Eager init, fails if DB unavailable at startup\n// Or using mutex: mu.Lock(); if db == nil { db = connect() }; mu.Unlock()",Low,None,sync,https://pkg.go.dev/sync#Once
4,Builder (Method Chaining),Creational,"builder,method chaining,fluent api,step by step","Construct complex objects step by step using method chaining","When object construction has many steps; when you want readable construction code","When simple constructor or functional options suffice","type QueryBuilder struct {\n    table   string\n    wheres  []string\n    orderBy string\n    limit   int\n}\nfunc NewQuery(table string) *QueryBuilder {\n    return &QueryBuilder{table: table}\n}\nfunc (q *QueryBuilder) Where(cond string) *QueryBuilder {\n    q.wheres = append(q.wheres, cond)\n    return q\n}\nfunc (q *QueryBuilder) OrderBy(field string) *QueryBuilder {\n    q.orderBy = field\n    return q\n}\nfunc (q *QueryBuilder) Limit(n int) *QueryBuilder {\n    q.limit = n\n    return q\n}\nquery := NewQuery(""users"").Where(""age > 18"").OrderBy(""name"").Limit(10)","Constructing complex SQL as raw string concatenation",Medium,None,stdlib,https://go.dev/doc/effective_go#methods
5,Constructor with Validation,Creational,"constructor,validation,NewX,invariant","Factory function that enforces invariants at creation time","When struct has required fields or constraints; when invalid state should be impossible","When all fields are optional or zero value is valid","type EmailAddress struct {\n    value string\n}\nfunc NewEmailAddress(email string) (EmailAddress, error) {\n    if !strings.Contains(email, ""@"") {\n        return EmailAddress{}, fmt.Errorf(""invalid email: %s"", email)\n    }\n    return EmailAddress{value: strings.ToLower(email)}, nil\n}\nfunc (e EmailAddress) String() string { return e.value }","type EmailAddress string // No validation, anyone can create invalid email",Low,None,stdlib,https://go.dev/doc/effective_go#composite_literals
6,Middleware / Decorator,Structural,"middleware,decorator,http.Handler,wrapping,chain","Wrapping http.Handler to add cross-cutting concerns like logging, auth, CORS","For cross-cutting concerns in HTTP servers; for adding behavior without modifying handlers","When behavior is specific to a single handler; when it adds too much complexity","func LoggingMiddleware(next http.Handler) http.Handler {\n    return http.HandlerFunc(func(w http.ResponseWriter, r *http.Request) {\n        start := time.Now()\n        next.ServeHTTP(w, r)\n        slog.Info(""request"",\n            ""method"", r.Method,\n            ""path"", r.URL.Path,\n            ""duration"", time.Since(start),\n        )\n    })\n}\nhttp.Handle(""/"", LoggingMiddleware(AuthMiddleware(myHandler)))","Putting logging/auth logic directly inside every handler function",Medium,Low,"net/http,log/slog",https://go.dev/doc/effective_go#interface_methods
7,Adapter,Structural,"adapter,wrapper,convert,interface compatibility","Convert one interface to another to make incompatible types work together","When integrating third-party code with your interfaces; when wrapping legacy APIs","When types already satisfy the required interface","type LegacyPrinter struct{}\nfunc (l *LegacyPrinter) PrintStored(msg string) { fmt.Println(""Legacy: "" + msg) }\n\ntype Printer interface { Print(msg string) }\n\ntype PrinterAdapter struct {\n    legacy *LegacyPrinter\n}\nfunc (a *PrinterAdapter) Print(msg string) {\n    a.legacy.PrintStored(msg)\n}\nfunc NewPrinterAdapter(l *LegacyPrinter) Printer {\n    return &PrinterAdapter{legacy: l}\n}","Modifying the legacy code directly to match your interface",Medium,None,stdlib,https://go.dev/doc/effective_go#interfaces
8,Facade,Structural,"facade,simplify,aggregate,unified api","Provide a simplified interface to a complex subsystem","When a subsystem has many components that are used together; when simplifying API for consumers","When the subsystem is already simple; when callers need fine-grained control","type OrderFacade struct {\n    inventory *InventoryService\n    payment   *PaymentService\n    shipping  *ShippingService\n}\nfunc (f *OrderFacade) PlaceOrder(ctx context.Context, order Order) error {\n    if err := f.inventory.Reserve(ctx, order.Items); err != nil {\n        return fmt.Errorf(""inventory: %w"", err)\n    }\n    if err := f.payment.Charge(ctx, order.Total); err != nil {\n        return fmt.Errorf(""payment: %w"", err)\n    }\n    return f.shipping.Schedule(ctx, order.Address)\n}","Requiring callers to coordinate inventory, payment, and shipping themselves",Medium,None,stdlib,https://go.dev/doc/effective_go#embedding
9,Embedding (Composition),Structural,"embedding,composition,struct embedding,promotion","Compose types by embedding structs/interfaces to promote methods","When you want to reuse behavior without inheritance; when extending types with additional methods","When you need to hide the embedded type's methods; when it creates confusing method sets","type Base struct {\n    ID        int\n    CreatedAt time.Time\n}\ntype User struct {\n    Base\n    Name  string\n    Email string\n}\nu := User{Base: Base{ID: 1, CreatedAt: time.Now()}, Name: ""Alice""}\nfmt.Println(u.ID) // Promoted field access","type User struct {\n    id        int\n    createdAt time.Time\n    name      string\n} // Duplicating fields across many structs",Low,None,stdlib,https://go.dev/doc/effective_go#embedding
10,Interface Segregation,Structural,"interface segregation,small interface,single method,focused","Keep interfaces small and focused on a single responsibility","Always in Go — prefer 1-3 method interfaces; when consumers only need part of functionality","Rarely — Go idiom strongly favors small interfaces","type Reader interface { Read(p []byte) (n int, err error) }\ntype Writer interface { Write(p []byte) (n int, err error) }\ntype ReadWriter interface {\n    Reader\n    Writer\n}\n// Consumer only asks for what it needs:\nfunc Process(r Reader) error {\n    buf := make([]byte, 1024)\n    _, err := r.Read(buf)\n    return err\n}","type FileManager interface {\n    Read(p []byte) (int, error)\n    Write(p []byte) (int, error)\n    Close() error\n    Seek(offset int64, whence int) (int64, error)\n    Stat() (os.FileInfo, error)\n} // Too many methods",Low,None,"io,net/http",https://go.dev/doc/effective_go#interfaces_and_types
11,Strategy (Interface-Based),Behavioral,"strategy,interface,pluggable,algorithm swap","Define a family of algorithms as interfaces and swap them at runtime","When behavior needs to be swappable (sorting, compression, auth strategies)","When there is only one implementation and no need for flexibility","type Compressor interface {\n    Compress(data []byte) ([]byte, error)\n}\ntype GzipCompressor struct{}\nfunc (g *GzipCompressor) Compress(data []byte) ([]byte, error) {\n    var buf bytes.Buffer\n    w := gzip.NewWriter(&buf)\n    _, err := w.Write(data)\n    if err != nil { return nil, err }\n    w.Close()\n    return buf.Bytes(), nil\n}\ntype Service struct { compressor Compressor }\nfunc NewService(c Compressor) *Service { return &Service{compressor: c} }","Hardcoding algorithm choice with if/else or switch in business logic",Medium,None,"compress/gzip,io",https://go.dev/doc/effective_go#interfaces
12,Observer (Channels),Behavioral,"observer,event,channel,publish subscribe,notify","Use channels to implement event notification pattern","When multiple goroutines need to react to events; for decoupled event-driven communication","When a simple function callback suffices; when there is only one observer","type EventBus struct {\n    subscribers map[string][]chan Event\n    mu          sync.RWMutex\n}\nfunc (eb *EventBus) Subscribe(topic string) <-chan Event {\n    eb.mu.Lock()\n    defer eb.mu.Unlock()\n    ch := make(chan Event, 16)\n    eb.subscribers[topic] = append(eb.subscribers[topic], ch)\n    return ch\n}\nfunc (eb *EventBus) Publish(topic string, event Event) {\n    eb.mu.RLock()\n    defer eb.mu.RUnlock()\n    for _, ch := range eb.subscribers[topic] {\n        select {\n        case ch <- event:\n        default: // Drop if subscriber is slow\n        }\n    }\n}","Using global callback functions that create tight coupling",Medium,Low,sync,https://go.dev/blog/pipelines
13,Command,Behavioral,"command,action,execute,undo,encapsulate","Encapsulate a request as an object to parameterize clients with operations","When you need undo/redo; when queuing or logging operations; for transaction scripts","When operations are simple and don't need encapsulation","type Command interface {\n    Execute() error\n    Undo() error\n}\ntype CreateUserCmd struct {\n    repo UserRepo\n    user User\n}\nfunc (c *CreateUserCmd) Execute() error {\n    return c.repo.Create(c.user)\n}\nfunc (c *CreateUserCmd) Undo() error {\n    return c.repo.Delete(c.user.ID)\n}\nfunc RunCommands(cmds []Command) error {\n    for i, cmd := range cmds {\n        if err := cmd.Execute(); err != nil {\n            for j := i - 1; j >= 0; j-- { cmds[j].Undo() }\n            return err\n        }\n    }\n    return nil\n}","Putting all operations in a single large function with no ability to undo",Medium,None,stdlib,https://go.dev/doc/effective_go#interfaces
14,Pipeline,Behavioral,"pipeline,stages,channel chain,data flow","Connect processing stages via channels where each stage is a goroutine","For stream processing; when data flows through multiple transformation steps","When processing is simple and sequential; when overhead of goroutines is not justified","func gen(nums ...int) <-chan int {\n    out := make(chan int)\n    go func() {\n        defer close(out)\n        for _, n := range nums { out <- n }\n    }()\n    return out\n}\nfunc sq(in <-chan int) <-chan int {\n    out := make(chan int)\n    go func() {\n        defer close(out)\n        for n := range in { out <- n * n }\n    }()\n    return out\n}\n// Usage: for v := range sq(sq(gen(2, 3, 4))) { fmt.Println(v) }","Processing all stages synchronously in a single loop when data is streamed",Medium,Low,stdlib,https://go.dev/blog/pipelines
15,Chain of Responsibility,Behavioral,"chain,handler chain,middleware chain,next","Pass request along a chain of handlers until one handles it","For middleware chains; for request validation pipelines; for fallback handling","When only one handler is needed; when order doesn't matter","type Handler interface {\n    Handle(req Request) (Response, error)\n    SetNext(h Handler)\n}\ntype AuthHandler struct{ next Handler }\nfunc (a *AuthHandler) Handle(req Request) (Response, error) {\n    if req.Token == """" {\n        return Response{}, errors.New(""unauthorized"")\n    }\n    if a.next != nil { return a.next.Handle(req) }\n    return Response{}, nil\n}\nfunc (a *AuthHandler) SetNext(h Handler) { a.next = h }","Nesting if/else for every check in a single function",Medium,None,stdlib,https://go.dev/doc/effective_go#interfaces
16,Table-Driven Design,Behavioral,"table-driven,data-driven,map,dispatch","Use maps or slices of structs to drive behavior instead of complex conditionals","For tests (table-driven tests); for routing; for configuration-driven logic","When there are only 2-3 simple cases","var statusText = map[int]string{\n    200: ""OK"",\n    201: ""Created"",\n    400: ""Bad Request"",\n    404: ""Not Found"",\n    500: ""Internal Server Error"",\n}\nfunc StatusText(code int) string {\n    if text, ok := statusText[code]; ok {\n        return text\n    }\n    return ""Unknown""\n}","func StatusText(code int) string {\n    if code == 200 { return ""OK"" }\n    if code == 201 { return ""Created"" }\n    // ... long chain of if/else\n}",Low,None,stdlib,https://go.dev/wiki/TableDrivenTests
17,Accept Interfaces Return Structs,Go-specific,"interface,concrete,return struct,accept interface","Functions should accept interface parameters and return concrete types","Always in library code; when you want flexibility for callers","When the concrete type is needed for specific functionality","type Store interface {\n    Get(ctx context.Context, key string) (string, error)\n}\nfunc NewCacheService(store Store) *CacheService {\n    return &CacheService{store: store}\n}\n// Callers can pass RedisStore, MemStore, MockStore etc.","func NewCacheService(store *RedisStore) *CacheService { ... } // Locks to specific impl",Low,None,stdlib,https://go.dev/wiki/CodeReviewComments#interfaces
18,Error Wrapping,Go-specific,"error,wrap,%w,fmt.Errorf,context","Add context to errors using fmt.Errorf with %w verb","Always when propagating errors upward; when caller needs error chain","When you want to hide the original error from callers","func GetUser(ctx context.Context, id int) (*User, error) {\n    user, err := db.QueryUser(ctx, id)\n    if err != nil {\n        return nil, fmt.Errorf(""GetUser(%d): %w"", id, err)\n    }\n    return user, nil\n}","if err != nil { return err } // No context added\n// or: return fmt.Errorf(""failed: %v"", err) // %v loses error chain",Low,None,"errors,fmt",https://go.dev/blog/go1.13-errors
19,Context Propagation,Go-specific,"context,cancellation,timeout,deadline,first param","Pass context.Context as the first parameter through all layers","Always in concurrent code; in HTTP handlers; in database queries; in gRPC calls","In pure computation functions with no I/O or cancellation need","func (s *Service) GetUser(ctx context.Context, id int) (*User, error) {\n    ctx, cancel := context.WithTimeout(ctx, 5*time.Second)\n    defer cancel()\n    return s.repo.FindByID(ctx, id)\n}\n// Handler:\nfunc (h *Handler) GetUser(w http.ResponseWriter, r *http.Request) {\n    user, err := h.svc.GetUser(r.Context(), id)\n    // ...\n}","func (s *Service) GetUser(id int) (*User, error) { ... } // No context = no cancellation",Low,None,context,https://pkg.go.dev/context
20,Type Switch,Go-specific,"type switch,type assertion,interface dispatch,polymorphism","Use type switch for handling multiple concrete types from an interface","When processing different types from an interface value; for error type handling","When you can use method dispatch (polymorphism) instead","func process(val any) string {\n    switch v := val.(type) {\n    case string:\n        return strings.ToUpper(v)\n    case int:\n        return strconv.Itoa(v)\n    case error:\n        return ""error: "" + v.Error()\n    default:\n        return fmt.Sprintf(""%v"", v)\n    }\n}","if s, ok := val.(string); ok { ... } else if i, ok := val.(int); ok { ... } // Nested if/else",Low,None,stdlib,https://go.dev/doc/effective_go#type_switch
21,Stringer Interface,Go-specific,"stringer,String(),fmt,print,display","Implement fmt.Stringer interface for human-readable type representation","When your type will be printed or logged; for enum-like types with iota","When the default struct printing is sufficient","type Weekday int\nconst (\n    Sunday Weekday = iota\n    Monday\n    Tuesday\n    Wednesday\n    Thursday\n    Friday\n    Saturday\n)\nfunc (d Weekday) String() string {\n    names := [...]string{""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""}\n    if d < Sunday || d > Saturday { return ""Unknown"" }\n    return names[d]\n}","fmt.Sprintf(""day=%d"", day) // Printing raw int value everywhere",Low,None,fmt,https://pkg.go.dev/fmt#Stringer
22,io.Reader/io.Writer Composition,Go-specific,"io.Reader,io.Writer,composition,stream,pipe","Compose functionality by chaining io.Reader and io.Writer implementations","When processing streams of data; for building encoding/compression pipelines","When working with small fixed-size data in memory","func CompressAndEncrypt(w io.Writer, key []byte) (io.WriteCloser, error) {\n    block, err := aes.NewCipher(key)\n    if err != nil { return nil, err }\n    stream := cipher.NewCTR(block, iv)\n    cryptWriter := &cipher.StreamWriter{S: stream, W: w}\n    return gzip.NewWriter(cryptWriter), nil\n}\n// Data flows: input -> gzip -> encrypt -> output","Reading entire file into memory, compressing, then encrypting in separate steps",Medium,Low,"io,compress/gzip",https://go.dev/doc/effective_go#interfaces
23,Sentinel Errors,Go-specific,"sentinel,errors.New,var Err,known errors","Define package-level error variables for well-known error conditions","For errors that callers need to check with errors.Is; for domain boundaries","When error needs dynamic context; when error is never checked by callers","var (\n    ErrNotFound    = errors.New(""not found"")\n    ErrConflict    = errors.New(""conflict"")\n    ErrUnauthorized = errors.New(""unauthorized"")\n)\nfunc GetUser(id int) (*User, error) {\n    u, err := db.Find(id)\n    if err != nil {\n        if errors.Is(err, sql.ErrNoRows) {\n            return nil, ErrNotFound\n        }\n        return nil, fmt.Errorf(""get user: %w"", err)\n    }\n    return u, nil\n}","if err.Error() == ""not found"" { ... } // String comparison is fragile",Low,None,errors,https://go.dev/blog/go1.13-errors
24,Generator (Goroutine + Channel),Go-specific,"generator,produce,goroutine channel,lazy sequence","A goroutine that produces a sequence of values on a channel","When generating a lazy sequence; when producer and consumer run at different speeds","When all data fits in memory and a slice is simpler","func Fibonacci(ctx context.Context) <-chan int {\n    ch := make(chan int)\n    go func() {\n        defer close(ch)\n        a, b := 0, 1\n        for {\n            select {\n            case <-ctx.Done():\n                return\n            case ch <- a:\n                a, b = b, a+b\n            }\n        }\n    }()\n    return ch\n}\nctx, cancel := context.WithCancel(context.Background())\ndefer cancel()\nfor v := range Fibonacci(ctx) {\n    if v > 1000 { break }\n    fmt.Println(v)\n}","Generating entire sequence into a slice upfront: fibs := make([]int, 0)\nfor i := 0; i < 1000000; i++ { fibs = append(fibs, fib(i)) }",Medium,Low,stdlib,https://go.dev/blog/pipelines
25,Fan-out / Fan-in,Concurrency,"fan-out,fan-in,distribute,collect,parallel","Distribute work across multiple goroutines (fan-out) and collect results (fan-in)","When tasks are independent and can run in parallel; when I/O bound work needs parallelism","When tasks are dependent on each other; when overhead exceeds benefit","func fanOut(ctx context.Context, input <-chan int, workers int) []<-chan int {\n    channels := make([]<-chan int, workers)\n    for i := 0; i < workers; i++ {\n        channels[i] = worker(ctx, input)\n    }\n    return channels\n}\nfunc fanIn(channels ...<-chan int) <-chan int {\n    var wg sync.WaitGroup\n    merged := make(chan int)\n    for _, ch := range channels {\n        wg.Add(1)\n        go func(c <-chan int) {\n            defer wg.Done()\n            for v := range c { merged <- v }\n        }(ch)\n    }\n    go func() { wg.Wait(); close(merged) }()\n    return merged\n}","Processing all items sequentially when they are independent",High,Medium,"sync,context",https://go.dev/blog/pipelines
26,Worker Pool,Concurrency,"worker pool,bounded,goroutine pool,job queue","Fixed number of goroutines processing jobs from a shared channel","When you need bounded concurrency; when spawning unlimited goroutines would overwhelm resources","When tasks are fast enough to run sequentially; when you need exactly one worker","func WorkerPool(ctx context.Context, jobs <-chan Job, results chan<- Result, numWorkers int) {\n    var wg sync.WaitGroup\n    for i := 0; i < numWorkers; i++ {\n        wg.Add(1)\n        go func() {\n            defer wg.Done()\n            for job := range jobs {\n                select {\n                case <-ctx.Done():\n                    return\n                case results <- process(job):\n                }\n            }\n        }()\n    }\n    go func() { wg.Wait(); close(results) }()\n}","for _, job := range jobs { go process(job) } // Unbounded goroutines",Medium,Medium,"sync,context",https://gobyexample.com/worker-pools
27,Circuit Breaker,Concurrency,"circuit breaker,fault tolerance,resilience,retry","Prevent cascading failures by stopping calls to a failing service","When calling external services that may fail; for API calls with known failure modes","For local operations that rarely fail; when retry is handled at a different layer","var cb *gobreaker.CircuitBreaker\nfunc init() {\n    cb = gobreaker.NewCircuitBreaker(gobreaker.Settings{\n        Name:        ""api"",\n        MaxRequests: 3,\n        Interval:    10 * time.Second,\n        Timeout:     30 * time.Second,\n        ReadyToTrip: func(counts gobreaker.Counts) bool {\n            return counts.ConsecutiveFailures > 5\n        },\n    })\n}\nresult, err := cb.Execute(func() (interface{}, error) {\n    return http.Get(""https://api.example.com/data"")\n})","Retrying failed external calls indefinitely without any backoff or circuit breaking",High,Low,github.com/sony/gobreaker,https://pkg.go.dev/github.com/sony/gobreaker
28,Rate Limiter,Concurrency,"rate limit,throttle,token bucket,x/time/rate","Control the rate of operations using a token bucket algorithm","When calling rate-limited APIs; for protecting services from overload","When traffic is already bounded; when rate limiting is handled by infrastructure","limiter := rate.NewLimiter(rate.Every(time.Second), 10) // 10 req/s\nfunc handler(w http.ResponseWriter, r *http.Request) {\n    if !limiter.Allow() {\n        http.Error(w, ""rate limit exceeded"", http.StatusTooManyRequests)\n        return\n    }\n    // Process request\n}\n// Or blocking: if err := limiter.Wait(ctx); err != nil { return err }","time.Sleep(100 * time.Millisecond) // Fixed sleep instead of proper rate limiting",Low,Low,golang.org/x/time/rate,https://pkg.go.dev/golang.org/x/time/rate
29,Semaphore,Concurrency,"semaphore,bounded,buffered channel,limit concurrency","Use a buffered channel as a counting semaphore to limit concurrent access","When you need to limit concurrent access to a resource; for bounded parallelism","When a simple mutex suffices; when using a proper worker pool instead","sem := make(chan struct{}, 10) // Max 10 concurrent\nvar wg sync.WaitGroup\nfor _, url := range urls {\n    wg.Add(1)\n    go func(u string) {\n        defer wg.Done()\n        sem <- struct{}{}        // Acquire\n        defer func() { <-sem }() // Release\n        resp, err := http.Get(u)\n        if err != nil { return }\n        defer resp.Body.Close()\n        // Process response\n    }(url)\n}\nwg.Wait()","for _, url := range urls { go fetch(url) } // No concurrency limit",Low,Low,stdlib,https://go.dev/doc/effective_go#channels
30,Pub/Sub with Channels,Concurrency,"pubsub,publish,subscribe,event bus,broadcast","Implement publish-subscribe messaging pattern using Go channels","When multiple consumers need to receive the same events; for decoupled event systems","When you need persistent message queues; when ordering guarantees are critical","type Broker[T any] struct {\n    mu   sync.RWMutex\n    subs map[string][]chan T\n}\nfunc (b *Broker[T]) Subscribe(topic string, bufSize int) <-chan T {\n    b.mu.Lock()\n    defer b.mu.Unlock()\n    ch := make(chan T, bufSize)\n    b.subs[topic] = append(b.subs[topic], ch)\n    return ch\n}\nfunc (b *Broker[T]) Publish(topic string, msg T) {\n    b.mu.RLock()\n    defer b.mu.RUnlock()\n    for _, ch := range b.subs[topic] {\n        select {\n        case ch <- msg:\n        default:\n        }\n    }\n}","Using shared mutable state with callbacks instead of channels",Medium,Low,sync,https://go.dev/blog/codelab-share
31,Role-Based Access Control (RBAC),Authorization,"rbac,roles,permissions,middleware,auth,admin,access control,authorization","Define roles with hierarchy (user < admin < superadmin) and check permissions in middleware. Use RequireRole(minRole) factory that creates middleware checking role level from JWT claims.","When you need fine-grained access control; when roles group related permissions; for multi-tenant or admin systems","For simple binary auth (authenticated/not); for public APIs without user roles","type Role string\nconst (\n    RoleUser       Role = ""user""\n    RoleAdmin      Role = ""admin""\n    RoleSuperAdmin Role = ""superadmin""\n)\nvar roleLevel = map[Role]int{RoleUser: 1, RoleAdmin: 2, RoleSuperAdmin: 3}\n\nfunc RequireRole(minRole Role) func(http.Handler) http.Handler {\n    return func(next http.Handler) http.Handler {\n        return http.HandlerFunc(func(w http.ResponseWriter, r *http.Request) {\n            claims, ok := r.Context().Value(ClaimsKey).(Claims)\n            if !ok {\n                http.Error(w, `{""error"":""unauthorized""}`, 401)\n                return\n            }\n            if roleLevel[Role(claims.Role)] < roleLevel[minRole] {\n                http.Error(w, `{""error"":""forbidden""}`, 403)\n                return\n            }\n            next.ServeHTTP(w, r)\n        })\n    }\n}\n// r.With(Auth(secret), RequireRole(RoleAdmin)).Get(""/admin/stats"", ...)","func (h *Handler) ListUsers(w http.ResponseWriter, r *http.Request) {\n    claims := r.Context().Value(""claims"").(Claims)\n    if claims.Role != ""admin"" && claims.Role != ""superadmin"" {\n        http.Error(w, ""forbidden"", 403)\n        return\n    }\n    // role check duplicated in every handler\n}",Medium,Low,"golang-jwt/jwt,chi",https://pkg.go.dev/net/http
