No,Tool,Category,Keywords,Description,Command,When To Use,Output
1,go vet,Static Analysis,"vet, analysis, bugs, suspicious",Examines Go source code and reports suspicious constructs that might be bugs such as unreachable code or bad format strings,go vet ./...,Run before every commit and in CI to catch common mistakes early,Text report listing file:line and description of each suspicious construct found
2,golangci-lint,Linting,"lint, style, quality, aggregate",Meta-linter that runs dozens of linters in parallel with caching and provides a unified report,"golangci-lint run ./..., configure with .golangci.yml",Use in CI and pre-commit hooks for comprehensive code quality checks,Unified report from multiple linters with file locations and severity levels
3,gofmt,Formatting,"format, style, canonical",Formats Go source code according to the canonical Go style by adjusting whitespace and alignment,gofmt -w .,Run on save or pre-commit to maintain consistent formatting across the codebase,Reformatted source files written in-place; diff output with -d flag
4,gofumpt,Formatting,"format, strict, style, opinionated",Stricter superset of gofmt that enforces additional formatting rules like removing unnecessary blank lines,gofumpt -w .,Use as a drop-in replacement for gofmt when you want stricter formatting consistency,Reformatted source files with stricter rules applied; compatible with gofmt output
5,go test -race,Testing,"race, concurrency, data race, detector",Enables the built-in race detector to find data races by instrumenting memory accesses during test execution,go test -race ./...,Run regularly in CI and during development when working with concurrent code,Reports data race locations with goroutine stacks showing conflicting accesses
6,go test -bench,Benchmarking,"benchmark, performance, speed, allocation",Runs benchmark functions matching the regex and reports ns/op and allocations per operation,"go test -bench=. -benchmem ./...",Use when optimizing performance-critical code or comparing implementations,Benchmark name followed by iterations and ns/op and B/op and allocs/op metrics
7,go test -fuzz,Fuzzing,"fuzz, security, edge cases, random",Runs fuzz tests that generate random inputs to find crashes and edge cases in your code,go test -fuzz=FuzzMyFunc -fuzztime=30s ./...,Use to discover edge cases in parsing functions and input validation code,Reports crashing inputs saved to testdata/fuzz/ corpus directory for regression
8,go test -cover,Coverage,"coverage, test, percentage",Measures statement-level test coverage and reports the percentage of code exercised by tests,go test -cover ./...,Run to check test coverage meets your project minimum threshold,Percentage of statements covered per package printed to stdout
9,go tool cover -html,Coverage Visualization,"coverage, html, visual, report",Generates an interactive HTML report showing covered and uncovered code highlighted in green and red,"go test -coverprofile=coverage.out ./... && go tool cover -html=coverage.out -o coverage.html",Use to visually identify untested code paths and find coverage gaps,HTML file with color-coded source showing covered lines in green and uncovered in red
10,go tool pprof,Profiling,"profile, cpu, memory, heap, performance",Analyzes CPU and memory profiles to find performance bottlenecks and memory allocation hotspots,"go tool pprof -http=:8080 cpu.prof, or go tool pprof http://localhost:6060/debug/pprof/heap",Use when diagnosing performance issues or high memory usage in production or development,Interactive web UI with flame graphs and top functions sorted by resource usage
11,go tool trace,Tracing,"trace, goroutine, latency, scheduler",Visualizes execution traces showing goroutine scheduling and syscalls and network blocking over time,"go test -trace=trace.out && go tool trace trace.out",Use to diagnose goroutine scheduling issues and latency problems and understand concurrency behavior,Interactive web UI with timeline showing goroutine states and events and regions
12,dlv/delve,Debugging,"debug, breakpoint, step, inspect, debugger",Full-featured Go debugger supporting breakpoints and stepping and variable inspection and goroutine switching,"dlv debug ./cmd/server, or dlv attach <pid>",Use when print-debugging is insufficient and you need to step through code or inspect state interactively,Interactive REPL or DAP server for IDE integration with breakpoints and variable watches
13,go generate,Code Generation,"generate, codegen, mock, stringer",Runs commands described by //go:generate directives in Go source files to automate code generation,go generate ./...,Use to generate mocks and string methods and protobuf code and other derived source files,Generated .go files written to disk as specified by the generator tool directives
14,go build -ldflags,Build Configuration,"build, version, embed, linker, inject",Injects values into variables at build time via the linker for version info and build metadata,"go build -ldflags ""-X main.version=1.2.3 -X main.commit=$(git rev-parse HEAD)"" ./cmd/app",Use to embed version and commit hash and build time into your binary without source changes,Binary compiled with injected variable values accessible at runtime
15,go mod tidy,Module Management,"modules, dependencies, cleanup, tidy",Adds missing module dependencies and removes unused ones from go.mod and go.sum,go mod tidy,Run after adding or removing imports and before committing to keep go.mod and go.sum clean,Updated go.mod and go.sum files with only the dependencies actually used
16,go mod vendor,Vendoring,"vendor, offline, dependencies, reproducible",Copies all module dependencies into a vendor/ directory for offline and reproducible builds,go mod vendor,Use when you need reproducible builds or must work in environments without network access,vendor/ directory containing copies of all dependent module source code
17,go work,Workspace,"workspace, multi-module, monorepo, local",Manages multi-module workspaces for simultaneous development of related modules without replace directives,"go work init ./module-a ./module-b, then go work sync",Use when developing multiple interdependent modules locally in a monorepo or side-by-side,go.work file defining workspace modules; all modules resolved locally during development
18,govulncheck,Security,"vulnerability, security, cve, advisory",Scans your dependencies for known vulnerabilities using the Go vulnerability database,govulncheck ./...,Run in CI and before releases to ensure no known vulnerabilities exist in your dependency tree,List of vulnerabilities with CVE IDs and affected functions and recommended fix versions
19,staticcheck,Static Analysis,"analysis, bugs, simplification, deprecation",Advanced static analyzer that finds bugs and suggests simplifications and flags deprecated API usage,staticcheck ./...,Run alongside go vet in CI for deeper analysis including unused code and deprecated API detection,Text report with check codes like SA1000 and file locations and descriptions of issues
20,air,Live Reload,"hot reload, development, watch, auto-restart",Live-reloading development server that watches for file changes and automatically rebuilds and restarts your app,"air, configure with .air.toml",Use during local development for rapid iteration without manually restarting the server,Automatic rebuild and restart on file change with colorized build output in terminal
21,buf,Protobuf Tooling,"protobuf, grpc, lint, breaking, generate",All-in-one protobuf tooling for linting and breaking change detection and code generation,"buf lint, buf breaking, buf generate",Use when working with Protocol Buffers and gRPC to enforce schema quality and detect breaking changes,Lint violations and breaking change reports and generated Go and gRPC code from proto files
22,goreleaser,Release Automation,"release, binary, docker, changelog, distribution",Automates building Go binaries and Docker images and creating changelogs and publishing releases,"goreleaser release --clean, configure with .goreleaser.yml",Use to automate cross-platform binary builds and GitHub/GitLab releases with changelogs,Cross-compiled binaries and Docker images and checksums and changelogs published to release platforms
