No,Pattern Name,Keywords,Context,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Unsafe Block Documentation,"unsafe, SAFETY, comment, invariant, soundness","Document every unsafe block with a // SAFETY comment explaining why the code is sound","Write a // SAFETY comment before every unsafe block explaining the invariants that make it sound; minimize unsafe scope","Use unsafe without documentation; write vague safety comments like 'this is safe'","// SAFETY: `data` is a valid pointer to a `[u8; 4]` allocation that\n// outlives this function call, as guaranteed by the caller's contract.\n// The alignment of u8 is 1, so any pointer is properly aligned.\nunsafe {\n    let slice = std::slice::from_raw_parts(data, 4);\n    process(slice)\n}","unsafe {\n    // no explanation of why this is sound\n    let slice = std::slice::from_raw_parts(data, 4);\n    process(slice)\n}",Critical,https://doc.rust-lang.org/nomicon/meet-safe-and-unsafe.html
2,Minimal Unsafe Scope,"unsafe, scope, minimize, encapsulate","Keep unsafe blocks as small as possible and wrap them in safe abstractions","Wrap unsafe in a safe function with documented preconditions; validate inputs before entering unsafe; make the safe API impossible to misuse","Put large amounts of logic inside unsafe blocks; mix safe and unsafe code in the same block","pub fn get_unchecked(slice: &[u8], index: usize) -> u8 {\n    assert!(index < slice.len(), ""index out of bounds"");\n    // SAFETY: index is bounds-checked above\n    unsafe { *slice.get_unchecked(index) }\n}\n// Safe API: caller cannot trigger UB","pub fn process(data: &[u8]) -> Vec<u8> {\n    unsafe {\n        let mut result = Vec::new();\n        // 50 lines of mixed safe and unsafe code\n        // impossible to audit which operations are unsafe\n        // and which invariants must hold\n        result\n    }\n}",Critical,https://doc.rust-lang.org/nomicon/safe-unsafe-meaning.html
3,FFI with C Libraries,"FFI, extern, C, bindgen, link","Bind to C libraries using extern blocks and the bindgen tool for automatic binding generation","Use bindgen for automatic header translation; wrap raw C functions in safe Rust APIs; use CStr/CString for string interop","Manually write extern declarations without verifying against headers; pass Rust strings directly to C functions","use std::ffi::{CStr, CString};\n\nextern ""C"" {\n    fn c_greet(name: *const std::os::raw::c_char);\n}\n\npub fn greet(name: &str) {\n    let c_name = CString::new(name)\n        .expect(""name must not contain null bytes"");\n    // SAFETY: c_name is a valid null-terminated C string\n    // and c_greet does not store the pointer beyond this call.\n    unsafe { c_greet(c_name.as_ptr()) }\n}","extern ""C"" {\n    fn c_greet(name: *const u8);\n}\n\nfn greet(name: &str) {\n    // Rust strings are NOT null-terminated!\n    unsafe { c_greet(name.as_ptr()) }\n    // UB: C function reads past string end\n}",Critical,https://doc.rust-lang.org/nomicon/ffi.html
4,Raw Pointer Safety,"raw pointer, *const, *mut, dereference, null","Handle raw pointers correctly with proper null checks and lifetime management","Check for null before dereferencing; ensure the pointed-to data outlives the pointer; maintain alignment requirements","Dereference raw pointers without null checks; create raw pointers to stack data that outlives the pointer","fn process_ptr(ptr: *const u8, len: usize) -> Option<Vec<u8>> {\n    if ptr.is_null() {\n        return None;\n    }\n    // SAFETY: ptr is non-null (checked above), properly aligned\n    // (u8 alignment is 1), and points to `len` initialized bytes\n    // as guaranteed by the caller's contract.\n    let slice = unsafe { std::slice::from_raw_parts(ptr, len) };\n    Some(slice.to_vec())\n}","fn process_ptr(ptr: *const u8, len: usize) -> Vec<u8> {\n    // no null check!\n    // no validation of len!\n    unsafe {\n        std::slice::from_raw_parts(ptr, len).to_vec()\n        // UB if ptr is null, dangling, or len is wrong\n    }\n}",Critical,https://doc.rust-lang.org/std/primitive.pointer.html
5,ManuallyDrop and Forget,"ManuallyDrop, forget, leak, drop, ownership","Use ManuallyDrop or mem::forget to prevent Drop from running when transferring ownership to foreign code","Use ManuallyDrop::into_inner to retake ownership; use Box::into_raw / Box::from_raw for heap transfers to/from C","Forget to reclaim ownership causing memory leaks; use mem::forget on types that manage external resources without cleanup","use std::mem::ManuallyDrop;\n\n// Transfer a Box to C:\nfn give_to_c(data: Box<MyStruct>) -> *mut MyStruct {\n    Box::into_raw(data)\n}\n\n// Reclaim from C:\nfn take_from_c(ptr: *mut MyStruct) -> Box<MyStruct> {\n    assert!(!ptr.is_null());\n    // SAFETY: ptr was created by Box::into_raw and has not been freed\n    unsafe { Box::from_raw(ptr) }\n}","fn give_to_c(data: Box<MyStruct>) -> *mut MyStruct {\n    let ptr = &*data as *const _ as *mut _;\n    std::mem::forget(data);\n    ptr\n    // works but Box::into_raw is the correct API\n    // also: pointer cast is fishy\n}",High,https://doc.rust-lang.org/std/mem/struct.ManuallyDrop.html
6,Catch Unwind at FFI Boundary,"catch_unwind, FFI, panic, boundary, abort","Catch panics at FFI boundaries to prevent undefined behavior when Rust panics unwind into C code","Wrap all #[no_mangle] extern functions with panic::catch_unwind; convert panics to error codes; set panic=abort as alternative","Let Rust panics propagate across FFI boundaries (undefined behavior)","use std::panic;\n\n#[no_mangle]\npub extern ""C"" fn rust_process(input: *const u8, len: usize) -> i32 {\n    let result = panic::catch_unwind(|| {\n        if input.is_null() { return -1; }\n        let slice = unsafe { std::slice::from_raw_parts(input, len) };\n        do_work(slice)\n    });\n    match result {\n        Ok(code) => code,\n        Err(_) => -99, // panic caught\n    }\n}","#[no_mangle]\npub extern ""C"" fn rust_process(input: *const u8, len: usize) -> i32 {\n    let slice = unsafe { std::slice::from_raw_parts(input, len) };\n    do_work(slice) // if this panics: UNDEFINED BEHAVIOR\n}",Critical,https://doc.rust-lang.org/std/panic/fn.catch_unwind.html
7,Unsafe Trait Implementation,"unsafe trait, Send, Sync, impl, contract","Implement unsafe traits only when you can guarantee the contract they require","Thoroughly understand the unsafe trait's safety contract; document why your implementation is sound; prefer safe alternatives","Implement Send/Sync on types with raw pointers without verifying thread safety","struct MyBuffer {\n    ptr: *mut u8,\n    len: usize,\n}\n\n// SAFETY: MyBuffer owns its allocation exclusively.\n// The pointer is not shared with other threads.\n// All access is through &self (shared) or &mut self (exclusive).\nunsafe impl Send for MyBuffer {}\n\n// SAFETY: All methods taking &self only read through the pointer.\n// No interior mutability through shared references.\nunsafe impl Sync for MyBuffer {}","struct SharedRef {\n    ptr: *mut u8, // mutable pointer!\n}\n\nunsafe impl Send for SharedRef {}\nunsafe impl Sync for SharedRef {}\n// WRONG: mutable raw pointer could be aliased\n// no guarantee of exclusive access",Critical,https://doc.rust-lang.org/nomicon/send-and-sync.html
8,Transmute Alternatives,"transmute, cast, conversion, reinterpret","Avoid std::mem::transmute when safer alternatives exist","Use as for numeric casts; from_ne_bytes for byte conversion; TryFrom for fallible conversion; pointer casts for raw pointers","Use transmute for type conversions that have safer alternatives; transmute between types of different sizes","// Instead of transmute:\nlet bytes: [u8; 4] = [0x12, 0x34, 0x56, 0x78];\nlet num = u32::from_ne_bytes(bytes); // safe!\n\nlet x: u32 = 42;\nlet y: i32 = x as i32; // numeric cast, safe!\n\nlet ptr: *const u8 = some_ptr;\nlet ptr2: *const i8 = ptr.cast(); // pointer cast, clear intent","// Dangerous transmute:\nlet bytes: [u8; 4] = [0x12, 0x34, 0x56, 0x78];\nlet num: u32 = unsafe { std::mem::transmute(bytes) };\n// works on this platform but endianness-dependent\n\nlet x: u32 = 42;\nlet y: i32 = unsafe { std::mem::transmute(x) };\n// same as x as i32, but with unsafe\n",High,https://doc.rust-lang.org/std/mem/fn.transmute.html
9,Pin and Self-Referential Structs,"Pin, Unpin, self-referential, Future, poll","Use Pin to prevent moving types that contain self-references, such as async Future state machines","Use Pin for async code and self-referential types; understand Unpin auto-trait; use pin! macro or Box::pin","Move a pinned value after pinning it; implement Unpin for types that contain self-references","use std::pin::Pin;\nuse std::future::Future;\n\n// Pin a future on the stack:\nlet future = async { 42 };\ntokio::pin!(future);\nlet val = future.await;\n\n// Pin on the heap:\nfn returns_future() -> Pin<Box<dyn Future<Output = i32> + Send>> {\n    Box::pin(async { 42 })\n}\n\n// Or use the async-trait crate:\n#[async_trait::async_trait]\ntrait MyService {\n    async fn process(&self) -> i32;\n}","async fn broken() {\n    let future = async { 42 };\n    let moved = future; // moves the future\n    // if future had self-references, they would be invalidated\n    // Pin prevents this\n}",High,https://doc.rust-lang.org/std/pin/index.html
10,Global Mutable State,"static mut, lazy, OnceLock, global","Avoid static mut; use thread-safe alternatives for global state","Use std::sync::OnceLock for lazy initialization; use std::sync::LazyLock for lazy computed values; use AtomicU64 for counters","Use static mut which requires unsafe for every access and has no synchronization","use std::sync::LazyLock;\n\nstatic CONFIG: LazyLock<Config> = LazyLock::new(|| {\n    Config::from_env().expect(""failed to load config"")\n});\n\nstatic DB_POOL: std::sync::OnceLock<PgPool> = std::sync::OnceLock::new();\n\nasync fn init_db(url: &str) {\n    let pool = PgPool::connect(url).await.unwrap();\n    DB_POOL.set(pool).expect(""DB already initialized"");\n}","static mut COUNTER: u64 = 0;\n\nfn increment() {\n    unsafe {\n        COUNTER += 1; // data race! UB with multiple threads\n    }\n}",Critical,https://doc.rust-lang.org/std/sync/struct.LazyLock.html
11,Inline Assembly,"asm!, global_asm!, assembly, intrinsic","Use Rust's asm! macro for inline assembly when hardware-specific instructions are needed","Use asm! with clear clobber annotations; prefer intrinsics over raw asm when available; document the assembly instructions","Use inline assembly when a safe Rust intrinsic exists; forget to specify clobbers","use std::arch::asm;\n\nfn cpuid(leaf: u32) -> (u32, u32, u32, u32) {\n    let (eax, ebx, ecx, edx);\n    // SAFETY: cpuid is available on all x86_64 processors.\n    // The registers are correctly specified as outputs.\n    unsafe {\n        asm!(\n            ""cpuid"",\n            inlateout(""eax"") leaf => eax,\n            lateout(""ebx"") ebx,\n            lateout(""ecx"") ecx,\n            lateout(""edx"") edx,\n        );\n    }\n    (eax, ebx, ecx, edx)\n}","// Using raw asm for something with a safe intrinsic:\nfn count_ones(x: u64) -> u32 {\n    unsafe { std::arch::x86_64::_popcnt64(x as i64) as u32 }\n    // x.count_ones() does the same thing safely!\n}",High,https://doc.rust-lang.org/reference/inline-assembly.html
12,Union Types,"union, repr(C), FFI, reinterpret, field","Use union types for FFI interop with C unions and for type-punning when needed","Use #[repr(C)] for FFI unions; access union fields only in unsafe blocks; ensure the correct variant is active","Access union fields without knowing which variant is active; use union when enum would work","#[repr(C)]\nunion FloatBits {\n    f: f32,\n    bits: u32,\n}\n\nfn float_to_bits(f: f32) -> u32 {\n    let fb = FloatBits { f };\n    // SAFETY: f32 and u32 have the same size and alignment.\n    // Reading bits when f was set is valid type-punning.\n    unsafe { fb.bits }\n}\n\n// Better: use the safe API\nfn float_to_bits_safe(f: f32) -> u32 {\n    f.to_bits() // safe! preferred\n}","union Value {\n    integer: i64,\n    float: f64,\n    text: String, // String has a destructor!\n}\n// unions with Drop types are error-prone\n// must manually manage lifecycle",High,https://doc.rust-lang.org/reference/items/unions.html
